,13/03/18,14/03/19,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20
Almeria,0,0,1,2,3,3,7,9,13,17,23,39,50
Cadiz,3,8,9,4,3,3,15,19,27,34,50,73,84
Cordoba,4,6,8,12,18,19,26,25,34,39,50,100,135
Granada,7,17,23,32,36,29,66,87,100,145,169,215,263
Huelva,0,0,0,6,1,4,15,13,16,24,29,38,42
Jaen,11,3,4,10,8,10,32,41,63,62,79,134,167
Malaga,55,62,93,98,97,113,93,109,161,169,192,333,431
Sevilla,8,14,15,30,34,42,53,64,89,126,152,200,261
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,0,,,,,
,,,,,,,,0,,,,,
